physid,PRVDR_SPCLTY,startyr,endyr
130,"SURGERY, GENERAL",2009,2020
131,INTERNAL MEDICINE,2009,2020
132,GASTROENTEROLOGY,2009,2011
133,PHYSICIAN ASSISTANT,2009,2010
134,INTERNAL MEDICINE,2014,2020
135,FAMILY MEDICINE,2009,2011
135,INTERNAL MEDICINE,2012,2020
136,NURSE PRACTITIONER,2009,2019
137,GASTROENTEROLOGY,2009,2020
137,INTERNAL MEDICINE,2016,2016
138,INTERNAL MEDICINE,2009,2020
139,GASTROENTEROLOGY,2009,2018
140,FAMILY MEDICINE,2009,2020
141,HEMATOLOGY AND ONCOLOGY,2016,2020
141,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
142,FAMILY MEDICINE,2018,2020
142,INTERNAL MEDICINE,2010,2017
143,INTERNAL MEDICINE,2009,2010
144,INTERNAL MEDICINE,2011,2020
145,FAMILY MEDICINE,2009,2020
146,INFECTIOUS DISEASES,2009,2020
147,INTERNAL MEDICINE,2012,2017
148,GENERAL PRACTICE,2009,2020
149,"ENDOCRINOLOGY, DIABETES & METABOLISM",2009,2020
150,GASTROENTEROLOGY,2012,2020
150,INTERNAL MEDICINE,2010,2011
151,INTERNAL MEDICINE,2009,2012
152,HEMATOLOGY AND ONCOLOGY,2016,2020
152,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
153,"SURGERY, GENERAL",2010,2020
154,INTERNAL MEDICINE,2012,2017
154,"SURGERY, GENERAL VASCULAR",2019,2020
155,INTERNAL MEDICINE,2009,2020
156,FAMILY MEDICINE,2011,2020
156,INTERNAL MEDICINE,2009,2010
157,FAMILY MEDICINE,2015,2020
157,INTERNAL MEDICINE,2011,2014
157,OCCUPATIONAL MEDICINE,2018,2019
158,INTERNAL MEDICINE,2016,2020
159,"SURGERY, GENERAL",2009,2009
159,"SURGERY, ONCOLOGIC",2010,2020
160,FAMILY MEDICINE,2009,2020
161,VASCULAR & INTERVENTIONAL RADIOLOGY,2009,2020
162,INTERNAL MEDICINE,2014,2015
163,FAMILY MEDICINE,2009,2020
164,INTERNAL MEDICINE,2013,2018
165,INTERNAL MEDICINE,2009,2020
166,HEMATOLOGY AND ONCOLOGY,2017,2020
167,INTERNAL MEDICINE,2009,2020
168,INTERNAL MEDICINE,2011,2016
169,PEDIATRICS -NEONATAL-PERINATAL MEDICINE,2009,2020
170,INTERNAL MEDICINE,2011,2020
171,HEMATOLOGY AND ONCOLOGY,2016,2020
171,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
172,"SURGERY, GENERAL",2011,2020
173,"SURGERY, COLON & RECTAL",2012,2020
173,"SURGERY, GENERAL",2009,2011
174,FAMILY MEDICINE,2009,2020
175,INTERNAL MEDICINE,2011,2015
176,FAMILY MEDICINE,2015,2020
177,REGISTERED NURSE,2009,2009
178,HEMATOLOGY AND ONCOLOGY,2016,2020
178,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
179,INTERNAL MEDICINE,2009,2020
180,FAMILY MEDICINE,2009,2012
181,EMERGENCY MEDICINE,2009,2020
182,"SURGERY, GENERAL",2009,2020
183,INTERNAL MEDICINE,2009,2020
184,INTERNAL MEDICINE,2009,2020
185,INTERNAL MEDICINE,2009,2020
186,FAMILY MEDICINE,2009,2015
187,"SURGERY, GENERAL",2009,2020
188,PULMONARY DISEASES,2009,2020
189,GASTROENTEROLOGY,2012,2020
190,INTERNAL MEDICINE,2009,2020
191,FAMILY MEDICINE,2009,2020
192,PLASTIC SURGERY WITHIN THE HEAD & NECK,2009,2020
193,INTERNAL MEDICINE,2009,2020
194,INTERNAL MEDICINE,2009,2020
195,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
195,INTERNAL MEDICINE,2013,2017
196,FAMILY MEDICINE,2012,2020
197,INTERNAL MEDICINE,2011,2020
198,INTERNAL MEDICINE,2009,2014
198,"SURGERY, GENERAL",2015,2020
199,FAMILY MEDICINE,2009,2018
200,INTERNAL MEDICINE,2018,2020
201,INTERNAL MEDICINE,2009,2020
202,INTERNAL MEDICINE,2013,2018
202,"SURGERY, GENERAL",2019,2020
203,HEMATOLOGY AND ONCOLOGY,2016,2019
203,HEMATOLOGY: INTERNAL MEDICINE,2015,2015
203,INTERNAL MEDICINE,2014,2014
203,"ONCOLOGY, MEDICAL",2019,2020
204,PHYSICIAN ASSISTANT,2009,2013
205,HEMATOLOGY AND ONCOLOGY,2019,2020
205,INTERNAL MEDICINE,2016,2017
205,"SURGERY, GENERAL",2018,2018
206,FAMILY MEDICINE,2009,2019
207,GASTROENTEROLOGY,2009,2020
208,FAMILY MEDICINE,2013,2015
208,INTERNAL MEDICINE,2009,2012
209,FAMILY PRACTICE - GERIATRIC MEDICINE,2019,2020
209,INTERNAL MEDICINE,2009,2018
210,FAMILY MEDICINE,2009,2020
211,FAMILY MEDICINE,2016,2020
211,GENERAL PRACTICE,2015,2016
212,EMERGENCY MEDICINE,2009,2020
213,GASTROENTEROLOGY,2009,2013
214,INTERNAL MEDICINE,2009,2020
215,HEMATOLOGY AND ONCOLOGY,2019,2020
215,INTERNAL MEDICINE,2014,2018
216,GASTROENTEROLOGY,2009,2020
217,NURSE PRACTITIONER,2017,2020
217,REGISTERED NURSE,2012,2016
218,INTERNAL MEDICINE,2009,2009
219,FAMILY MEDICINE,2018,2020
219,INTERNAL MEDICINE,2012,2017
220,GASTROENTEROLOGY,2009,2010
221,INTERNAL MEDICINE,2013,2018
221,"SURGERY, GENERAL",2019,2020
222,INTERNAL MEDICINE,2009,2020
223,FAMILY MEDICINE,2014,2017
223,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
223,INTERNAL MEDICINE,2010,2013
224,FAMILY MEDICINE,2011,2020
225,GENERAL PRACTICE,2013,2013
225,INTERNAL MEDICINE,2009,2013
225,RADIATION ONCOLOGY,2014,2020
226,FAMILY MEDICINE,2009,2020
227,HEMATOLOGY AND ONCOLOGY,2015,2020
227,INTERNAL MEDICINE,2010,2012
228,FAMILY MEDICINE,2011,2020
228,INTERNAL MEDICINE,2009,2010
229,INTERNAL MEDICINE,2009,2020
230,INTERNAL MEDICINE,2013,2014
230,"ONCOLOGY, MEDICAL",2014,2020
231,INTERNAL MEDICINE,2013,2019
232,FAMILY MEDICINE,2009,2011
232,INTERNAL MEDICINE,2012,2020
233,INTERNAL MEDICINE,2009,2020
234,FAMILY MEDICINE,2010,2011
234,INTERNAL MEDICINE,2012,2020
235,GASTROENTEROLOGY,2009,2012
236,INTERNAL MEDICINE,2011,2020
237,"SURGERY, GENERAL",2009,2011
238,INTERNAL MEDICINE,2011,2015
239,FAMILY MEDICINE,2013,2020
239,INTERNAL MEDICINE,2010,2012
240,INTERNAL MEDICINE,2009,2020
241,FAMILY MEDICINE,2013,2020
241,INTERNAL MEDICINE,2010,2012
242,FAMILY MEDICINE,2009,2020
243,GASTROENTEROLOGY,2009,2020
243,INTERNAL MEDICINE,2009,2009
244,PHYSICIAN ASSISTANT,2009,2020
245,INTERNAL MEDICINE,2009,2020
246,GASTROENTEROLOGY,2009,2020
247,INTERNAL MEDICINE,2009,2010
248,GENERAL PRACTICE,2009,2009
248,INTERNAL MEDICINE,2009,2020
249,INTERNAL MEDICINE,2012,2020
250,INTERNAL MEDICINE,2009,2020
251,INTERNAL MEDICINE,2009,2020
252,INTERNAL MEDICINE,2009,2020
253,INTERNAL MEDICINE,2009,2020
254,INTERNAL MEDICINE,2009,2020
255,GENERAL PRACTICE,2009,2020
256,FAMILY MEDICINE,2009,2020
257,INTERNAL MEDICINE,2009,2020
258,HEMATOLOGY: INTERNAL MEDICINE,2013,2014
259,INTERNAL MEDICINE,2011,2014
260,INFECTIOUS DISEASES,2009,2020
261,FAMILY MEDICINE,2009,2020
262,FAMILY MEDICINE,2010,2011
262,INTERNAL MEDICINE,2012,2013
263,INTERNAL MEDICINE,2009,2020
264,OBSTETRICS & GYNECOLOGY,2009,2020
265,GASTROENTEROLOGY,2009,2020
266,HEMATOLOGY: INTERNAL MEDICINE,2009,2010
267,HEMATOLOGY AND ONCOLOGY,2016,2020
267,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
269,HEMATOLOGY AND ONCOLOGY,2016,2020
269,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
270,FAMILY MEDICINE,2009,2020
271,INTERNAL MEDICINE - CRITICAL CARE MEDICINE,2009,2020
272,"SURGERY, GENERAL",2009,2020
273,HEMATOLOGY AND ONCOLOGY,2016,2020
273,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
274,"SURGERY, GENERAL",2012,2020
275,NURSE PRACTITIONER,2009,2009
276,GASTROENTEROLOGY,2013,2020
277,"SURGERY, GENERAL",2009,2020
278,GENERAL PRACTICE,2009,2013
278,"SURGERY, GENERAL",2013,2020
279,FAMILY MEDICINE,2009,2019
280,"SURGERY, GENERAL",2012,2020
281,INTERNAL MEDICINE,2009,2010
282,"SURGERY, COLON & RECTAL",2012,2020
282,"SURGERY, GENERAL",2011,2011
283,INTERNAL MEDICINE,2010,2011
284,GASTROENTEROLOGY,2011,2020
285,INTERNAL MEDICINE,2010,2020
286,NURSE PRACTITIONER,2020,2020
286,REGISTERED NURSE,2016,2019
287,INTERNAL MEDICINE,2013,2020
288,FAMILY MEDICINE,2009,2020
289,GASTROENTEROLOGY,2017,2020
289,INTERNAL MEDICINE,2014,2016
290,HEMATOLOGY AND ONCOLOGY,2016,2020
290,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
291,FAMILY MEDICINE,2016,2020
292,INTERNAL MEDICINE,2009,2020
293,HEMATOLOGY AND ONCOLOGY,2016,2020
293,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
294,HEMATOLOGY AND ONCOLOGY,2016,2020
294,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
295,INTERNAL MEDICINE,2009,2020
296,INTERNAL MEDICINE,2009,2009
296,"ONCOLOGY, GYNECOLOGIC",2010,2020
297,"ENDOCRINOLOGY, DIABETES & METABOLISM",2009,2020
298,GASTROENTEROLOGY,2009,2015
299,INTERNAL MEDICINE,2009,2020
300,INTERNAL MEDICINE,2009,2020
301,INTERNAL MEDICINE,2009,2020
302,INTERNAL MEDICINE,2009,2010
302,OBSTETRICS & GYNECOLOGY,2011,2020
303,INTERNAL MEDICINE,2017,2020
304,INTERNAL MEDICINE,2009,2020
305,INTERNAL MEDICINE,2009,2020
306,GASTROENTEROLOGY,2009,2018
307,EMERGENCY MEDICINE,2009,2020
308,FAMILY MEDICINE,2011,2020
309,FAMILY MEDICINE,2010,2018
310,INTERNAL MEDICINE,2009,2020
311,INTERNAL MEDICINE,2013,2014
312,FAMILY MEDICINE,2009,2020
313,FAMILY MEDICINE,2016,2020
313,INTERNAL MEDICINE,2012,2015
314,PHYSICIAN ASSISTANT,2009,2015
315,NURSE PRACTITIONER,2009,2019
316,INTERNAL MEDICINE,2013,2015
316,RADIATION ONCOLOGY,2016,2020
316,"SURGERY, GENERAL",2009,2012
317,FAMILY MEDICINE,2009,2020
318,INTERNAL MEDICINE,2013,2014
319,"SURGERY, GENERAL",2009,2014
320,HEMATOLOGY AND ONCOLOGY,2016,2020
320,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
321,INTERNAL MEDICINE,2016,2020
322,INTERNAL MEDICINE,2013,2018
322,"SURGERY, GENERAL",2018,2020
323,HEMATOLOGY AND ONCOLOGY,2016,2020
323,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
324,PULMONARY DISEASES,2009,2018
325,"SURGERY, GENERAL",2009,2016
326,GASTROENTEROLOGY,2009,2020
327,FAMILY MEDICINE,2012,2013
327,"SURGERY, GENERAL",2009,2020
328,GASTROENTEROLOGY,2015,2015
328,INTERNAL MEDICINE,2009,2020
329,INTERNAL MEDICINE,2012,2020
330,HEMATOLOGY AND ONCOLOGY,2016,2020
330,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
331,GASTROENTEROLOGY,2010,2017
332,INTERNAL MEDICINE,2009,2020
333,INTERNAL MEDICINE,2009,2020
334,INTERNAL MEDICINE,2015,2016
335,EMERGENCY MEDICINE,2009,2019
335,FAMILY MEDICINE,2020,2020
336,RHEUMATOLOGY,2009,2020
337,NEPHROLOGY,2009,2020
338,HEMATOLOGY AND ONCOLOGY,2016,2016
338,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
339,FAMILY MEDICINE,2020,2020
339,INTERNAL MEDICINE,2016,2019
340,FAMILY MEDICINE,2009,2020
341,HEMATOLOGY AND ONCOLOGY,2016,2020
341,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
342,GASTROENTEROLOGY,2013,2020
343,NURSE PRACTITIONER,2009,2020
344,"SURGERY, GENERAL",2009,2017
344,"SURGERY, ONCOLOGIC",2018,2020
345,FAMILY MEDICINE,2009,2020
346,FAMILY MEDICINE,2009,2020
347,GASTROENTEROLOGY,2011,2020
348,GASTROENTEROLOGY,2009,2020
349,HEMATOLOGY AND ONCOLOGY,2017,2020
350,FAMILY MEDICINE,2009,2020
351,OBSTETRICS & GYNECOLOGY,2009,2020
352,INTERNAL MEDICINE,2012,2014
353,INTERNAL MEDICINE,2009,2020
354,INTERNAL MEDICINE,2009,2020
355,FAMILY MEDICINE,2009,2017
356,FAMILY MEDICINE,2009,2020
357,INTERNAL MEDICINE,2010,2020
358,EMERGENCY MEDICINE,2017,2020
359,INTERNAL MEDICINE,2009,2020
360,FAMILY MEDICINE,2013,2017
360,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
360,INTERNAL MEDICINE,2012,2012
361,PHYSICIAN ASSISTANT,2011,2020
362,INTERNAL MEDICINE,2010,2020
363,INTERNAL MEDICINE,2009,2020
364,FAMILY MEDICINE,2019,2019
364,INTERNAL MEDICINE,2011,2018
365,INTERNAL MEDICINE,2009,2020
366,"SURGERY, GENERAL",2013,2020
367,INTERNAL MEDICINE,2009,2018
368,PHYSICIAN ASSISTANT,2009,2018
369,INTERNAL MEDICINE,2009,2011
369,OBSTETRICS & GYNECOLOGY,2012,2020
370,INTERNAL MEDICINE,2010,2013
371,INTERNAL MEDICINE,2009,2020
372,"SURGERY, GENERAL",2009,2020
373,FAMILY MEDICINE,2009,2020
374,INTERNAL MEDICINE,2010,2020
375,FAMILY MEDICINE,2011,2019
375,FAMILY PRACTICE - GERIATRIC MEDICINE,2020,2020
375,INTERNAL MEDICINE,2009,2010
376,PHYSICIAN ASSISTANT,2009,2012
377,GASTROENTEROLOGY,2009,2020
378,INTERNAL MEDICINE,2010,2014
379,INTERNAL MEDICINE,2009,2011
380,FAMILY MEDICINE,2009,2020
381,"SURGERY, COLON & RECTAL",2009,2020
382,INTERNAL MEDICINE,2009,2014
382,"SURGERY, GENERAL",2015,2015
383,INTERNAL MEDICINE,2015,2020
384,INTERNAL MEDICINE,2009,2020
385,FAMILY MEDICINE,2009,2020
386,"SURGERY, GENERAL",2011,2014
387,"SURGERY, GENERAL",2009,2020
388,FAMILY MEDICINE,2009,2020
389,HEMATOLOGY AND ONCOLOGY,2015,2020
389,INTERNAL MEDICINE,2011,2014
390,INTERNAL MEDICINE,2009,2020
391,GASTROENTEROLOGY,2009,2020
392,FAMILY MEDICINE,2009,2020
393,PHYSICIAN ASSISTANT,2011,2020
394,FAMILY MEDICINE,2016,2020
395,INTERNAL MEDICINE,2009,2017
396,"SURGERY, GENERAL",2009,2020
397,NURSE PRACTITIONER,2009,2014
398,"SURGERY, COLON & RECTAL",2014,2020
398,"SURGERY, GENERAL",2009,2013
399,INTERNAL MEDICINE,2019,2019
399,"SURGERY, GENERAL",2020,2020
400,INTERNAL MEDICINE,2013,2014
401,INTERNAL MEDICINE,2015,2020
402,FAMILY MEDICINE,2009,2016
403,EMERGENCY MEDICINE,2009,2015
404,INTERNAL MEDICINE,2009,2010
405,INTERNAL MEDICINE,2011,2017
405,UROLOGY,2016,2018
406,"SURGERY, GENERAL",2009,2020
407,FAMILY MEDICINE,2009,2020
408,"SURGERY, GENERAL",2013,2016
410,INTERNAL MEDICINE,2009,2020
411,INTERNAL MEDICINE,2010,2014
412,"SURGERY, GENERAL",2009,2020
413,FAMILY MEDICINE,2009,2020
414,FAMILY MEDICINE,2009,2017
414,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
415,INTERNAL MEDICINE,2015,2017
416,PHYSICIAN ASSISTANT,2009,2020
417,FAMILY MEDICINE,2009,2018
418,INTERNAL MEDICINE,2009,2020
419,GASTROENTEROLOGY,2015,2020
420,INTERNAL MEDICINE,2016,2020
421,FAMILY MEDICINE,2009,2020
422,INTERNAL MEDICINE,2009,2020
423,INTERNAL MEDICINE,2016,2020
424,EMERGENCY MEDICINE,2009,2020
425,INTERNAL MEDICINE,2009,2015
426,"SURGERY, GENERAL",2009,2020
427,GASTROENTEROLOGY,2009,2020
428,VASCULAR & INTERVENTIONAL RADIOLOGY,2009,2020
429,INTERNAL MEDICINE,2009,2014
430,FAMILY MEDICINE,2009,2020
431,FAMILY MEDICINE,2013,2014
431,HEMATOLOGY AND ONCOLOGY,2016,2020
431,HEMATOLOGY: INTERNAL MEDICINE,2015,2015
431,INTERNAL MEDICINE,2011,2012
432,INTERNAL MEDICINE,2011,2020
433,INTERNAL MEDICINE,2009,2020
434,GASTROENTEROLOGY,2009,2020
435,FAMILY MEDICINE,2009,2015
436,FAMILY MEDICINE,2010,2020
437,INTERNAL MEDICINE,2009,2020
438,INTERNAL MEDICINE,2011,2020
439,"SURGERY, GENERAL",2011,2020
440,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
441,FAMILY MEDICINE,2009,2020
442,INTERNAL MEDICINE,2009,2020
443,"SURGERY, GENERAL",2009,2020
444,INTERNAL MEDICINE,2009,2014
445,INTERNAL MEDICINE,2009,2020
446,FAMILY MEDICINE,2016,2020
447,INTERNAL MEDICINE,2011,2013
447,"SURGERY, GENERAL",2014,2016
448,INTERNAL MEDICINE,2012,2020
449,INTERNAL MEDICINE,2010,2011
450,HEMATOLOGY AND ONCOLOGY,2019,2019
451,FAMILY PRACTICE - GERIATRIC MEDICINE,2018,2020
451,INTERNAL MEDICINE,2009,2017
452,FAMILY MEDICINE,2010,2020
452,INTERNAL MEDICINE,2009,2009
453,DERMATOLOGY,2009,2013
454,FAMILY MEDICINE,2013,2020
455,FAMILY MEDICINE,2012,2020
455,INTERNAL MEDICINE,2009,2011
456,NEPHROLOGY,2009,2020
457,FAMILY MEDICINE,2015,2020
458,INTERNAL MEDICINE,2009,2018
459,INTERNAL MEDICINE,2011,2013
460,FAMILY MEDICINE,2013,2020
461,INTERNAL MEDICINE,2011,2020
462,INTERNAL MEDICINE,2009,2011
462,"SURGERY, GENERAL",2012,2020
463,INTERNAL MEDICINE,2009,2020
465,FAMILY MEDICINE,2009,2020
466,FAMILY MEDICINE,2009,2019
466,INTERNAL MEDICINE,2012,2012
467,FAMILY MEDICINE,2009,2020
468,FAMILY MEDICINE,2013,2020
468,INTERNAL MEDICINE,2009,2012
469,GASTROENTEROLOGY,2009,2018
470,HEMATOLOGY AND ONCOLOGY,2016,2020
470,HEMATOLOGY: INTERNAL MEDICINE,2014,2019
471,INTERNAL MEDICINE,2010,2012
471,"SURGERY, COLON & RECTAL",2013,2020
471,"SURGERY, GENERAL",2009,2009
472,INTERNAL MEDICINE,2009,2020
473,FAMILY MEDICINE,2009,2020
474,GASTROENTEROLOGY,2009,2020
475,EMERGENCY MEDICINE,2009,2020
476,INTERNAL MEDICINE,2009,2020
477,INTERNAL MEDICINE - CRITICAL CARE MEDICINE,2009,2013
477,PULMONARY DISEASES,2014,2020
478,INTERNAL MEDICINE,2010,2010
478,"SURGERY, GENERAL",2011,2020
479,INTERNAL MEDICINE,2013,2020
480,FAMILY MEDICINE,2009,2020
481,"SURGERY, GENERAL",2010,2020
482,HEMATOLOGY AND ONCOLOGY,2019,2020
483,INTERNAL MEDICINE,2017,2020
484,INTERNAL MEDICINE,2009,2020
485,HEMATOLOGY AND ONCOLOGY,2016,2016
485,INTERNAL MEDICINE,2010,2015
486,INTERNAL MEDICINE,2017,2018
487,FAMILY PRACTICE - GERIATRIC MEDICINE,2019,2020
487,INTERNAL MEDICINE,2009,2018
488,INTERNAL MEDICINE,2009,2020
489,INTERNAL MEDICINE,2009,2020
490,OBSTETRICS & GYNECOLOGY,2009,2011
490,"ONCOLOGY, GYNECOLOGIC",2012,2020
491,FAMILY MEDICINE,2009,2020
492,HEPATOLOGY,2009,2020
493,FAMILY MEDICINE,2009,2020
494,INTERNAL MEDICINE,2009,2020
495,INTERNAL MEDICINE,2013,2017
496,FAMILY MEDICINE,2014,2014
496,INTERNAL MEDICINE,2015,2020
497,HEMATOLOGY AND ONCOLOGY,2016,2020
497,HEMATOLOGY: INTERNAL MEDICINE,2009,2015
498,FAMILY MEDICINE,2009,2020
499,FAMILY MEDICINE,2009,2020
500,INTERNAL MEDICINE,2009,2020
501,"SURGERY, GENERAL VASCULAR",2009,2020
502,FAMILY MEDICINE,2009,2020
503,INTERNAL MEDICINE,2009,2020
504,INTERNAL MEDICINE,2009,2020
505,FAMILY MEDICINE,2009,2020
506,FAMILY MEDICINE,2009,2020
507,INTERNAL MEDICINE,2009,2011
