physid,birth_yr,employment_yr,termination_yr,female,ETHNICITY,JOB_TITLE,firstencyr,lastencyr,encyrs,PATCT,patperyr
192,1956,1990,,1,HISPAN,HEAD AND NECK SURGEON,2004,2020,17,15639,919.94117647
193,1974,2007,,0,BLACK,IM HOSPITALIST,,,,,
194,1974,2008,,0,HISPAN,IM HOSPITALIST,,,,,
195,1986,2016,,1,ASIAN,"GERIATRICS,PALLIATIVE&CONTCARE",2013,2020,8,1559,194.875
196,1977,2012,,0,HISPAN,FAMILY PRACTICE SPECIALIST,2012,2020,9,18148,2016.4444444
197,1979,2011,,1,WHITE,INTERNIST,2011,2020,10,8109,810.9
198,1982,2014,,0,ASIAN,GENERAL SURGEON,2008,2020,13,5095,391.92307692
199,1951,1982,2018,0,HISPAN,FAMILY PRACTICE SPECIALIST,2004,2016,13,15248,1172.9230769
200,1989,,,1,,,2018,2019,2,808,404
201,1959,2007,,0,WHITE,INTERNIST,2007,2020,14,9407,671.92857143
202,1977,2018,,1,ASIAN,GENERAL SURGEON,2013,2018,6,223,37.166666667
203,1975,2019,,0,ASIAN,,2014,2019,6,1692,282
204,1974,2002,2013,1,WHITE,PHYSICIAN ASST,2004,2013,10,6972,697.2
205,1982,2018,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2017,2019,3,960,320
206,1954,1990,2019,1,HISPAN,FAMILY PRACTICE SPECIALIST,2004,2019,16,11478,717.375
207,1967,1997,,0,ASIAN,GASTROENTEROLOGIST,2005,2020,16,16912,1057
208,1978,2015,2017,0,BLACK,,2009,2012,4,777,194.25
209,1965,2005,,0,ASIAN,"GERIATRICS,PALLIATIVE&CONTCARE",2005,2020,16,3771,235.6875
210,1975,2005,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,17056,1003.2941176
211,1983,2016,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2016,2020,5,9041,1808.2
212,1962,1996,,0,AMINDN,EMERGENTOLOGIST,2005,2015,11,1378,125.27272727
213,1944,1977,2013,0,WHITE,GASTROENTEROLOGIST,2004,2012,9,6025,669.44444444
214,1973,2006,,1,HISPAN,IM INTERNAL MEDICINE GENERAL,2006,2020,15,6033,402.2
215,1985,2018,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2014,2020,7,1176,168
216,1978,2015,,1,ASIAN,,2009,2015,7,4570,652.85714286
217,1980,2012,,1,HISPAN,NURSE PRACTITIONER Y2,2016,2020,5,7809,1561.8
218,1974,2006,2009,0,ASIAN,INTERNIST,,,,,
219,1979,2015,,0,WHITE,URGENT CARE SPECIALIST,2012,2020,9,2740,304.44444444
220,1970,2006,2010,0,WHITE,GASTROENTEROLOGIST,2007,2009,3,247,82.333333333
221,1984,2018,,1,WHITE,GENERAL SURGEON,2013,2020,8,1759,219.875
222,1957,2007,,0,ASIAN,INTERNIST,2007,2020,14,15121,1080.0714286
223,1983,2012,,1,HISPAN,"GERIATRICS,PALLIATIVE&CONTCARE",2010,2013,4,1079,269.75
224,1982,2011,,1,WHITE,FAMILY PRACTICE SPECIALIST,2011,2020,10,11478,1147.8
225,1979,2010,,1,WHITE,RADIATION ONCOLOGIST,2011,2020,10,4178,417.8
226,1972,2005,,0,ASIAN,FAMILY PRACTICE SPECIALIST,2005,2020,16,16745,1046.5625
227,1974,2015,,1,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2007,2020,14,1475,105.35714286
228,1975,2010,,1,HISPAN,FAMILY PRACTICE SPECIALIST,2007,2020,14,10777,769.78571429
229,1969,2007,,0,ASIAN,INTERNIST,2007,2020,14,4992,356.57142857
230,1978,2014,,0,ASIAN,,2013,2014,2,638,319
231,1985,2013,2019,0,ASIAN,RESIDENT PHYSICIAN,2013,2019,7,311,44.428571429
232,1952,2005,,0,WHITE,INTERNIST,2005,2020,16,13270,829.375
233,1970,2002,,1,WHITE,INTERNIST,2004,2020,17,8035,472.64705882
234,1968,2010,,0,WHITE,INTERNIST,2011,2020,10,9838,983.8
235,1938,1971,2011,0,WHITE,ENDOSCOPIC BILIARY SPECIALIST,2004,2011,8,10231,1278.875
236,1985,2014,,0,WHITE,IM HOSPITALIST,2011,2014,4,417,104.25
237,1967,1998,2010,0,ASIAN,GENERAL SURGEON,2004,2010,7,3588,512.57142857
238,1981,2012,2016,0,ASIAN,RESIDENT PHYSICIAN,2011,2014,4,198,49.5
239,1982,2012,,0,HISPAN,FAMILY PRACTICE SPECIALIST,2010,2020,11,9482,862
240,1970,2000,,0,ASIAN,IM HOSPITALIST,2004,2010,7,1247,178.14285714
241,1982,2012,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2010,2019,10,11793,1179.3
242,1952,1986,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2019,16,17746,1109.125
243,1978,2009,,0,WHITE,,2004,2009,6,612,102
244,1972,2002,,0,WHITE,PHYSICIAN ASST II,2004,2020,17,20242,1190.7058824
245,1957,1986,,0,ASIAN,INTERNIST,2004,2020,17,14361,844.76470588
246,1974,2008,,0,ASIAN,GASTROENTEROLOGIST,2008,2020,13,13648,1049.8461538
247,1978,2009,2010,0,,,2009,2009,1,171,171
248,1977,2009,,0,WHITE,INTERNIST,2009,2020,12,10058,838.16666667
249,1978,2012,,0,WHITE,INTERNIST,2012,2020,9,11091,1232.3333333
250,1968,2000,,1,ASIAN,INTERNIST,2004,2020,17,5744,337.88235294
251,1969,2009,,0,ASIAN,IM HOSPITALIST,2011,2019,9,188,20.888888889
252,1968,1999,,0,ASIAN,IM HOSPITALIST,2004,2020,17,2536,149.17647059
253,1964,2009,,1,WHITE,IM INTERNAL MEDICINE GENERAL,2009,2020,12,9988,832.33333333
254,1965,2007,,0,WHITE,INTERNIST,2007,2020,14,21070,1505
255,1952,1977,,0,WHITE,GENERAL PRACTITIONER,2004,2020,17,16984,999.05882353
256,1969,2006,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2006,2020,15,14363,957.53333333
257,1979,2008,,0,WHITE,IM HOSPITALIST,2008,2018,11,1067,97
258,1976,,2014,0,,,2013,2013,1,210,210
259,1978,2011,2014,1,WHITE,INTERNIST,2012,2012,1,93,93
260,1952,1989,2020,0,BLACK,INFECTIOUS DISEASE SPECIALIST,2004,2019,16,3351,209.4375
261,1974,2001,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2020,17,17155,1009.1176471
262,1975,2010,2013,0,BLACK,INTERNIST,2010,2010,1,201,201
263,1963,1997,,1,HISPAN,IM HOSPITALIST,2004,2017,14,784,56
264,1952,1988,,0,ASIAN,OBSTETRICIAN GYNECOLOGIST,2004,2020,17,16586,975.64705882
265,1957,1988,,0,ASIAN,GASTROENTEROLOGIST,2004,2020,17,7894,464.35294118
266,1938,1972,2010,0,WHITE,,2004,2009,6,2742,457
267,1974,2007,,0,WHITE,IM ONCOLOGY AND HEMATOLOGY,2007,2020,14,5163,368.78571429
268,1973,2004,2008,1,ASIAN,FAMILY PRACTICE SPECIALIST,2004,2008,5,3557,711.4
269,1962,1994,,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,3066,180.35294118
270,1973,2001,,0,WHITE,FAMILY PRACTICE SPECIALIST,2004,2020,17,18525,1089.7058824
271,1950,1983,,0,WHITE,ADULT CRITICAL CARE,2004,2008,5,215,43
272,1953,1990,,0,WHITE,GENERAL SURGEON,2004,2020,17,7734,454.94117647
273,1968,2002,,0,WHITE,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,2547,149.82352941
274,1976,2012,,0,ASIAN,GENERAL SURGEON,2012,2020,9,4511,501.22222222
275,1955,2002,2009,0,WHITE,NURSE PRACTITIONER II,2006,2009,4,1655,413.75
276,1977,2013,,0,ASIAN,,2013,2014,2,1912,956
277,1967,1998,,1,WHITE,SURGERY GENERAL,2004,2020,17,9062,533.05882353
278,1975,2013,,0,WHITE,GENERAL SURGEON,2013,2020,8,2717,339.625
279,1960,1991,2019,1,WHITE,FAMILY PRACTICE SPECIALIST,2004,2018,15,11365,757.66666667
280,1975,2012,,0,WHITE,GENERAL SURGEON,2004,2020,17,4081,240.05882353
281,1978,2009,2010,1,ASIAN,INTERNIST,2010,2010,1,72,72
282,1977,2011,,0,ASIAN,SURGERY COLORECTAL,2011,2019,9,2704,300.44444444
283,1981,2010,2011,0,BLACK,RESIDENT PHYSICIAN,2010,2011,2,132,66
284,1979,2011,,0,WHITE,GASTROENTEROLOGIST,2011,2020,10,6674,667.4
285,1974,2010,,1,ASIAN,IM HOSPITALIST,,,,,
286,1975,2016,,1,ASIAN,NURSE PRACTITIONER Y2,2019,2020,2,1400,700
287,1985,2015,,0,ASIAN,IM HOSPITALIST,2013,2016,4,439,109.75
288,1969,1997,,0,HISPAN,URGENT CARE SPECIALIST,2004,2020,17,29165,1715.5882353
289,1984,2016,,0,ASIAN,GASTROENTEROLOGIST,2016,2020,5,4747,949.4
290,1956,1993,,0,WHITE,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,5227,307.47058824
291,1974,2016,,1,ASIAN,FAMILY PRACTICE SPECIALIST,2016,2020,5,6776,1355.2
292,1976,2006,,1,ASIAN,INTERNIST,2006,2020,15,8910,594
293,1959,1989,,1,HISPAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,2115,124.41176471
294,1947,2000,,0,ASIAN,IM ONCOLOGY AND HEMATOLOGY,2004,2020,17,3050,179.41176471
295,1975,2004,,1,ASIAN,INTERNIST,2004,2020,17,10599,623.47058824
296,1972,2009,,1,WHITE,GYNECOLOGIC ONCOLOGIST,2009,2020,12,3156,263
297,1975,2006,,1,ASIAN,ENDOCRINOLOGIST,2006,2020,15,8211,547.4
298,1966,1995,2015,1,WHITE,GASTROENTEROLOGIST,2005,2014,10,7692,769.2
299,1972,2002,,0,WHITE,INTERNIST,2004,2020,17,12376,728
300,1963,1993,,1,ASIAN,IM HOSPITALIST,2004,2006,3,843,281
301,1967,1996,,0,WHITE,INTERNIST,2004,2020,17,13284,781.41176471
302,1980,2010,,1,ASIAN,OBSTETRICIAN GYNECOLOGIST,2009,2020,12,5330,444.16666667
303,1978,2017,,1,ASIAN,INTERNIST,2017,2020,4,5533,1383.25
304,1976,2010,,0,ASIAN,IM HOSPITALIST,2010,2019,10,1252,125.2
305,1976,2009,,0,ASIAN,INTERNIST,2005,2020,16,26399,1649.9375
306,1942,1978,2018,0,WHITE,GASTROENTEROLOGIST,2004,2018,15,6630,442
307,1978,2007,,0,ASIAN,EMERGENTOLOGIST,2015,2020,6,1664,277.33333333
308,1975,2011,,0,WHITE,FAMILY PRACTICE SPECIALIST,2011,2020,10,11847,1184.7
