physid,MSOC_SCHL_SPCLT_TX,MSOC_DGR_ERN_TX,MSOC_TYP_TX,MSOC_YR_RCVD_TX,MSOC_BRD_NM,MSOC_CERT_YR_TX
156,Family Medicine,,Internship,2008,American Board of Family Medicine,2010
157,,DO,Medical Education,2011,,
157,Family Medicine,,Internship,2012,American Board of Family Medicine,2014
159,,MD,Medical Education,1997,American Board of Surgery,2003
160,,MD,Medical Education,2006,,
160,Family Medicine,,Internship,2007,American Board of Family Medicine,2009
161,,MD,Medical Education,2000,American Board of Radiology,2017
161,Diagnostic Imaging,,Residency,2005,American Board of Radiology,2005
161,Interventional Radiology,,Fellowship,2006,American Board of Radiology,2012
162,,DO,Medical Education,2011,,
162,Internal Medicine,,Internship,2012,Am Osteo Board of Internal Medicine,2014
163,,MD,Medical Education,2000,,
163,Family Practice,,Residency,2003,American Board of Family Medicine,2003
164,,MD,Medical Education,2010,,
164,Internal Medicine,,Residency,2013,American Board of Internal Medicine,2013
165,,MD,Medical Education,1992,American Board of Internal Medicine,1995
166,,MD,Medical Education,1999,,
166,Hematology and Oncology,,Fellowship,2008,American Board of Internal Medicine,2008
166,Internal Medicine,,Residency,,American Board of Internal Medicine,2005
167,Internal Medicine,MD,Medical Education,2003,American Board of Internal Medicine,2007
168,,MD,Medical Education,2011,,
168,,NONE,Fellowship,2017,AMERICAN BOARD OF SURGERY,2017
168,,NONE,Internship,2012,,
168,,NONE,Residency,2016,,
169,,MD,Medical Education,1986,American Board of Obstetrics and Gynecology,1995
169,Maternal and Fetal Medicine,,Fellowship,1992,American Board of Obstetrics and Gynecology,1993
170,,MD,Medical Education,2000,,
170,Internal Medicine,,Residency,2011,American Board of Internal Medicine,2011
172,,MD,Medical Education,2000,,
172,General Surgery,,Residency,2005,American Board of Surgery,2008
172,Surgical Critical Care,,Fellowship,2008,American Board of Surgery,2007
173,,MD,Medical Education,2001,American Board of Surgery,2006
173,Colorectal Surgery,,Fellowship,2008,American Board of Colon and Rectal Surgery,2009
174,,MD,Medical Education,1982,American Board of Family Medicine,1985
175,,MD,Medical Education,1999,,
175,Internal Medicine,,Residency,2005,American Board of Internal Medicine,2005
176,,MD,Medical Education,2000,,
176,Family Medicine,,Internship,2001,American Board of Family Medicine,2003
178,,MD,Medical Education,1982,American Board of Internal Medicine,2001
178,Hematology/Oncology,,Fellowship,2001,American Board of Internal Medicine,1998
178,Internal Medicine,,Residency,1998,American Board of Internal Medicine,2001
180,,MD,Medical education,2002,American Board of Family Medicine,2005
181,,MD,Medical Education,1997,,
181,Emergency Medicine,,Internship,1998,American Board of Emergency Medicine,2002
182,,MD,Medical Education,1998,American Board of Surgery,2007
183,,MD,Medical Education,1984,American Board of Internal Medicine,1987
183,Internal Medicine,,Residency,1987,American Board of Internal Medicine,1994
184,,MD,Medical Education,2001,American Board of Internal Medicine,2004
185,,MD,Medical Education,2002,American Board of Internal Medicine,2007
186,,MD,Medical Education,1973,American Board of Family Medicine,1980
187,,MD,Medical Education,1983,American Board of Surgery,1993
187,General Surgery,MD,Residency,1990,,
187,Internal Medicine,MD,Residency,1985,,
188,,MD,Medical Education,1984,American Board of Internal Medicine,1988
188,Internal Medicine,,Residency,1987,American Board of Internal Medicine,1991
188,Pulmonary Disease&Critical Care Med,,Fellowship,1989,American Board of Internal Medicine,1990
189,,MD,Medical Education,2004,,
189,Family Medicine,,Internship,2005,American Board of Internal Medicine,2013
189,Internal Medicine,,Residency,2008,American Board of Internal Medicine,2011
190,,MD,Medical Education,1992,American Board of Internal Medicine,1995
191,,MD,Medical Education,1998,American Board of Family Medicine,2001
192,,MD,Medical Education,1985,,
193,,MD,Medical Education,2004,,
193,Internal Medicine,,Internship,2005,American Board of Internal Medicine,2007
194,,MD,Medical Education,2005,,
194,Internal Medicine,,Internship,2006,American Board of Internal Medicine,2008
195,,DO,Medical Education,2013,,
195,Family Medicine,,Internship,2014,Am Osteo Board of Family Physicians,2016
195,Geriatric Medicine,,Fellowship,2017,Am Osteo Board of Family Physicians,2017
196,,DO,Medical Education,2009,,
196,Family Medicine,,Residency,2012,American Board of Family Medicine,2012
197,,MD,Medical Education,2006,,
197,Internal Medicine,,Residency,2009,American Board of Internal Medicine,2009
198,,MD,Medical Education,2008,,
198,General Surgery,,Internship,2009,American Board of Surgery,2015
199,,MD,Medical Education,1980,,
201,,MD,Medical Education,1989,American Board of Internal Medicine,1993
202,,DO,Medical Education,2011,,
203,,MBBS,Medical/Professional Educ,1999,American Board of Internal Medicine,2014
203,Internal Medicine,,Internship,,American Board of Internal Medicine,2010
203,Internal Medicine,,Residency,,American Board of Internal Medicine,2014
204,Physician Assistant,Bachelors in Ph,Medical Education,2001,,
205,,MD,Medical Education,2010,American Board of Internal Medicine,2017
205,Hematology and Oncology,,Fellowship,2017,American Board of Internal Medicine,2013
205,Internal Medicine,,Residency,2014,American Board of Internal Medicine,2017
206,,DO,Medical Education,1986,American Board of Family Medicine,1989
207,,MD,Medical Education,1992,American Board of Internal Medicine,2000
207,Gastroenterology,,Fellowship,1999,American Board of Internal Medicine,1996
208,,MD,Fellowship,2016,,
209,,MD,Medical Education,1993,American Board of Internal Medicine,1997
210,,MD,Medical Education,2004,American Board of Family Medicine,2007
211,,MD,Medical Education,2013,American Board of Family Medicine,2016
212,,MD,Medical Education,1993,American Board of Emergency Medicine,1998
213,,MD,Medical Education,1969,American Board of Internal Medicine,1977
213,Internal Medicine,,Internship,1970,American Board of Internal Medicine,1972
214,,MD,Medical Education,1999,American Board of Internal Medicine,2002
215,,MD,Medical Education,2011,American Board of Internal Medicine,2014
215,Hematology and Oncology,,Fellowship,2017,American Board of Internal Medicine,2017
215,Internal Medicine,,Residency,2014,American Board of Internal Medicine,2017
216,,MD,Medical/Professional Educ,2003,American Board of Internal Medicine,2006
216,Gastroenterology,,Fellowship,,American Board of Internal Medicine,2009
217,,MSN,Professional Education,2012,American Nurses Credentialing Center Certification,
218,,MD,Medical education,2001,,
219,,MD,Medical Education,2012,,
219,Internal Medicine,,Internship,2013,American Board of Internal Medicine,2015
220,,DO,Medical education,1999,American Board of Internal Medicine,2005
220,Internal Medicine,,Internship,2000,American Board of Internal Medicine,2003
221,,MD,Medical Education,2013,,
221,General Surgery,,Internship,2014,American Board of Surgery,2019
222,Family Practice,,Internship,1989,American Board of Internal Medicine,1992
223,,MD,Medical Education,2010,,
223,Family Medicine,,Residency,2013,American Board of Family Medicine,2014
223,Hospice and Palliative Medicine,,Fellowship,2014,American Board of Family Medicine,2013
224,Family Medicine,,Residency,2011,American Board of Family Medicine,2011
225,Internal Medicine,,Residency,2009,American Board of Radiology,2014
225,Radiation Oncology,MD,Residency,2013,American Board of Internal Medicine,2009
226,,MD,Medical Education,1998,American Board of Family Medicine,2001
227,,MD,Medical Education,2005,American Board of Internal Medicine,2015
227,Hematology and Oncology,,Fellowship,2011,American Board of Internal Medicine,2011
227,Internal Medicine,,Internship,2006,American Board of Internal Medicine,2009
228,,MD,Medical Education,2007,,
228,Family Medicine,,Internship,2008,American Board of Family Medicine,2010
229,,MD,Medical Education,1995,American Board of Internal Medicine,1998
230,,MD,Medical/Professional Educ,2007,American Board of Internal Medicine,2014
230,Hematology/Oncology,,Fellowship,,American Board of Internal Medicine,2010
230,Internal Medicine,,Residency,,American Board of Internal Medicine,2014
232,,MD,Medical Education,1976,American Board of Internal Medicine,1998
233,,MD,Medical Education,1999,American Board of Internal Medicine,2002
234,,MD,Medical Education,2002,,
234,Infectious Disease,,Fellowship,2010,American Board of Internal Medicine,2005
234,Internal Medicine,,Residency,2005,American Board of Internal Medicine,2010
235,,MD,Medical education,1963,,
236,,MD,Medical Education,2011,,
236,Internal Medicine,,Internship,2012,American Board of Internal Medicine,2014
237,,MD,Medical education,1995,American Board of Surgery,2003
238,,MD,Medical Education,2008,American Board of Internal Medicine,2011
238,Internal Medicine,,Residency,2011,American Board of Internal Medicine,2014
239,,MD,Medical Education,2010,,
239,Family Medicine,,Residency,2013,American Board of Family Medicine,2013
240,,MD,Medical Education,1997,American Board of Internal Medicine,2000
241,,DO,Medical Education,2010,,
241,Family Medicine,,Residency,2013,American Board of Family Medicine,2013
242,,MD,Medical Education,1980,,
242,Internal Medicine,,Residency,1985,American Board of Family Medicine,1984
243,,MD,Medical/Professional Educ,2003,American Board of Internal Medicine,2006
243,Gastroenterology,,Fellowship,,American Board of Internal Medicine,2009
245,,MD,Medical Education,1983,American Board of Internal Medicine,1986
246,,MD,Medical Education,2000,,
246,Internal Medicine,,Chief Resident,2004,American Board of Internal Medicine,2003
246,Internal Medicine,,Internship,2001,American Board of Internal Medicine,2008
247,,MD,Medical education,2005,,
248,,,Medical Education,2006,American Board of Internal Medicine,2009
249,,MD,Medical Education,2007,,
249,Internal Medicine,,Residency,2012,American Board of Internal Medicine,2017
250,,MD,Medical Education,1997,American Board of Internal Medicine,2000
251,,MD,Medical Education,1996,American Board of Internal Medicine,2002
252,,MD,Medical Education,1996,American Board of Internal Medicine,2002
253,,MD,Medical Education,1990,American Board of Internal Medicine,1993
254,,MD,Medical Education,1995,American Board of Internal Medicine,2002
254,Internal Medicine,,Residency,1999,American Board of Pediatrics,2004
256,,MD,Medical Education,2001,American Board of Family Medicine,2006
259,,MD,Medical Education,2008,,
259,Internal Medicine,,Residency,2011,American Board of Internal Medicine,2011
260,,MD,Medical Education,1977,American Board of Internal Medicine,1984
260,Internal Medicine,,Internship,1978,American Board of Internal Medicine,1980
262,,MD,Medical Education,2006,,
263,,MD,Medical Education,1992,American Board of Internal Medicine,1995
264,,MD,Medical Education,1975,American Board of Obstetrics and Gynecology,1988
265,,MD,Medical Education,1986,American Board of Internal Medicine,1991
265,Gastroenterology,,Fellowship,1991,American Board of Internal Medicine,1989
266,,MD,Medical education,1966,American Board of Internal Medicine,1979
266,Internal Medicine,,Internship,1967,American Board of Internal Medicine,1972
266,Internal Medicine,,Residency,1969,American Board of Internal Medicine,1974
267,,MD,Medical Education,2001,American Board of Internal Medicine,2008
267,Hematology/Oncology,,Fellowship,2007,American Board of Internal Medicine,2008
267,Internal Medicinr,,Residency,2004,American Board of Internal Medicine,2004
268,,MD,Medical education,1999,American Board of Family Medicine,2002
269,,MD,Medical Education,1990,American Board of Internal Medicine,1996
269,Hematology and Oncology,,Fellowship,1996,American Board of Internal Medicine,1997
269,Internal Medicine,,Residency,1993,American Board of Internal Medicine,1995
270,,MD,Medical Education,1999,American Board of Family Medicine,2002
271,,MD,Medical Education,1977,American Board of Internal Medicine,1980
271,Infectious Disease,,Fellowship,1983,American Board of Internal Medicine,1991
271,Internal Medicine,,Residency,1981,American Board of Internal Medicine,1986
272,,MD,Medical Education,1980,American Board of Surgery,1987
273,,MD,Medical Education,1996,American Board of Internal Medicine,2002
273,Hematology-Oncology,,Fellowship,2002,American Board of Internal Medicine,2002
273,Internal Medicine,,Residency,1999,American Board of Internal Medicine,1999
274,,MD,Medical Education,2006,,
274,General Surgery,,Residency,2011,American Board of Surgery,2011
275,RNP,MSN,Professional Education,2005,,
276,,MD,Medical/Professional Educ,2006,American Board of Internal Medicine,2009
276,Internal Medicine,,Residency,,American Board of Internal Medicine,2013
277,,MD,Medical Education,1996,American Board of Surgery,2003
278,Surgery,,Residency,2012,American Board of Surgery,2013
279,,MD,Medical Education,1987,American Board of Family Medicine,1990
280,,MD,Medical Education,2001,,
280,General Surgery,,Residency,2006,American Board of Surgery,2007
281,,MD,Medical education,2006,,
281,Internal Medicine,,Internship,2007,American Board of Internal Medicine,2009
282,,MD,Medical Education,2004,,
282,Colon and Rectal Surgery,,Fellowship,2010,American Board of Surgery,2009
282,General Surgery,,Residency,2009,American Board of Colon and Rectal Surgery,2012
284,,MD,Medical Education,2005,,
284,Gastroenterology,MD,Fellowship,2011,American Board of Internal Medicine,2011
284,Internal Medicine,MD,Internship,2006,,
284,Internal Medicine,MD,Residency,2008,American Board of Internal Medicine,2008
285,,MD,Medical Education,2005,,
285,Internal Medicine,,Internship,2006,American Board of Internal Medicine,2010
286,,MSN,Professional Education,2016,American Academy of Nurse Practitioner Certificati,
287,,MD,Medical Education,2013,,
287,Internal Medicine,,Internship,,American Board of Internal Medicine,2016
287,Internal Medicine,MD,Residency,2016,,
289,,MD,Medical Education,2010,,
289,Internal Medicine,,Internship,2011,American Board of Internal Medicine,2016
289,Internal Medicine,,Residency,2013,American Board of Internal Medicine,2014
290,Internal Medicine,,Residency,1986,American Board of Internal Medicine,1986
291,,MD,Medical Education,1999,,
291,Family Medicine,,Residency,2016,American Board of Family Medicine,2016
292,,MD,Medical Education,2002,American Board of Internal Medicine,2006
293,,MD,Medical Education,1986,American Board of Internal Medicine,1995
293,Medical Oncology,,Fellowship,1994,American Board of Internal Medicine,1989
294,,MD,Medical Education,1982,American Board of Internal Medicine,1997
294,,PhD,Medical Education,1986,American Board of Internal Medicine,1996
294,Hematology/Medical Oncology,,Fellowship,1997,American Board of Internal Medicine,1994
296,,MD,Medical Education,2000,American Board of Obstetrics and Gynecology,2008
296,Gynecologic Oncology,,Fellowship,2007,American Board of Obstetrics and Gynecology,2011
297,,MD,Medical Education,2002,American Board of Internal Medicine,2008
297,"Endocrinology, Diabetes, Metabolism",,Fellowship,2008,American Board of Internal Medicine,2005
298,,MD,Medical Education,1991,American Board of Internal Medicine,1998
298,Internal Medicine,,Internship,1992,American Board of Internal Medicine,1995
299,,MD,Medical Education,1999,American Board of Internal Medicine,2002
300,,MD,Medical Education,1990,American Board of Internal Medicine,1996
302,,MD,Medical Education,2006,,
302,Obstetrics and Gynecology,,Residency,2010,American Board of Obstetrics and Gynecology,2012
303,,MD,Medical Education,2004,,
303,Geriatric Medicine,,Fellowship,2016,American Board of Internal Medicine,2015
303,Internal Medicine,,Residency,2015,American Board of Internal Medicine,2016
304,,MD,Medical Education,2004,,
304,Internal Medicine,,Internship,2005,American Board of Internal Medicine,2007
305,,,Medical Education,2005,American Board of Internal Medicine,2008
306,,MD,Medical Education,1972,American Board of Internal Medicine,1975
306,Medicine,,Internship,1973,American Board of Internal Medicine,1977
307,,MD,Medical Education,2004,American Board of Emergency Medicine,2008
308,,MD,Medical Education,2000,,
308,Family Medicine,,Residency,2010,American Board of Family Medicine,2010
309,,MD,Medical Education,1997,American Board of Family Medicine,2009
310,,MD,Medical Education,1998,American Board of Internal Medicine,2001
312,,MD,Medical Education,1997,American Board of Family Medicine,2000
313,,DO,Medical Education,2012,,
313,Family Medicine,,Residency,2015,American Board of Family Medicine,2015
314,,PA,Professional Education,1985,,
315,,NP,Professional Education,1991,,
316,,MD,Medical Education,2004,American Board of Radiology,2016
317,,MD,Medical Education,1980,American Board of Family Medicine,1983
317,Family Practice,,Residency,1983,American Board of Family Medicine,1994
318,Allopathic Medicine,MD,Medical Education,2001,American Board of Internal Medicine,2014
318,Hematology and Oncology,,Medical Training,2014,American Board of Internal Medicine,2010
318,Internal Medicine,,Medical Training,2010,American Board of Internal Medicine,2014
319,,MD,Medical Education,1971,American Board of Surgery,1978
322,,MD,Medical/Professional Educ,2013,American Board of Surgery,
324,,MD,Medical Education,1978,American Board of Internal Medicine,1988
324,Internal Medicine,,Internship,1979,American Board of Internal Medicine,1981
324,Internal Medicine,,Residency,1981,American Board of Internal Medicine,1987
325,,MD,Medical Education,1974,American Board of Surgery,1981
326,,MD,Medical Education,1990,American Board of Internal Medicine,1997
326,Gastroenterology,,Fellowship,1996,American Board of Internal Medicine,1995
327,,MD,Medical Education,1986,American Board of Surgery,2002
328,,MD,Medical Education,2000,American Board of Internal Medicine,2003
329,,MD,Medical Education,1998,,
329,Geriatric Medicine,,Fellowship,2011,American Board of Internal Medicine,2010
329,Internal Medicine,,Residency,2010,American Board of Internal Medicine,2011
330,,MD,Medical Education,1990,American Board of Internal Medicine,1995
330,Medical Oncology,,Fellowship,1995,American Board of Internal Medicine,1993
331,,MD,Medical Education,2003,,
331,Gastroenterology,,Fellowship,2010,American Board of Internal Medicine,2006
331,Internal Medicine,,Internship,2004,American Board of Internal Medicine,2011
332,,MD,Medical Education,1994,American Board of Internal Medicine,1997
332,Internal Medicine,,Residency,1997,American Board of Internal Medicine,2017
335,,MD,Medical Education,1995,American Board of Emergency Medicine,1999
