physid,firstdepyr,lastdepyr,SPECIALTY,MEDCTR,MSA,ENCCT
6,2019,2020,Family Practice,PORTER RANCH MEDICAL OFFICE-U,WOODLAND HILLS MED CENTER AREA,1929
7,2004,2016,Family Practice,TORRANCE MEDICAL OFFICE BLDG U,SOUTH BAY MEDICAL CENTER AREA,20843
7,2004,2020,Family Practice,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,4100
7,2005,2009,Urgent Care,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,587
7,2013,2020,Family Practice,LONG BEACH MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,1981
7,2015,2018,Family Practice,GARDENA MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,964
7,2018,2019,Family Practice,CARSON SOUTH BAY MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,388
8,2004,2016,Family Practice,CLAIREMONT MESA MED OFFICES   U,SAN DIEGO MEDICAL CENTER AREA,25927
8,2004,2016,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,3840
8,2005,2005,Family Practice,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,15
8,2007,2007,Internal Medicine,CLAIREMONT MESA MED OFFICES   U,SAN DIEGO MEDICAL CENTER AREA,4
8,2016,2016,Family Practice,PT LOMA/FORDHAM MED OFFICE   U,SAN DIEGO MEDICAL CENTER AREA,10
9,2013,2020,Gastroenterology,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,1014
9,2013,2020,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,5722
9,2013,2020,"Surgery, General",4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,567
10,2004,2009,Internal Medicine,PT LOMA/FORDHAM MED OFFICE   U,SAN DIEGO MEDICAL CENTER AREA,10145
10,2014,2014,Employee Health,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,54
11,2016,2017,Hematology/Oncology,BV VISTA MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,1030
11,2016,2020,Hematology/Oncology,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,3835
11,2017,2020,Hematology/Oncology,MARKET STREET MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,3471
12,2008,2012,Internal Medicine,BARRANCA MEDICAL OFFICE U,ORANGE COUNTY MED CENTER AREA,6217
12,2012,2012,Internal Medicine,ANAHEIM KRAEMER MED OFFICE 1,ORANGE COUNTY MED CENTER AREA,14
12,2012,2018,Internal Medicine,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,183
12,2012,2019,Internal Medicine,ANAHEIM KRAEMER MED OFFICE 2 U,ORANGE COUNTY MED CENTER AREA,148
13,2004,2006,Internal Medicine,PANORAMA CITY MEDICAL OFFICE 3 U,PANORAMA MEDICAL CENTER AREA,110
13,2004,2020,Family Practice,PANORAMA CITY MEDICAL OFFICE 3 U,PANORAMA MEDICAL CENTER AREA,18893
13,2005,2005,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,8
13,2005,2005,Family Practice,PASADENA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,10
13,2005,2006,Intermediate Care,PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,23
13,2005,2009,Urgent Care,PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,517
13,2006,2010,Family Practice,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,44
13,2009,2020,Urgent Care,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,1978
13,2011,2011,Intermediate Care,PANORAMA CITY MEDICAL OFFICE 3 U,PANORAMA MEDICAL CENTER AREA,12
13,2011,2014,Intermediate Care,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,233
13,2014,2014,Urgent Care,PASADENA/LA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,14
13,2014,2017,Internal Medicine,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,298
13,2015,2020,Family Practice,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,1112
14,2012,2012,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,54
15,2009,2010,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,71
17,2008,2009,"Surgery, General",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,20
17,2008,2016,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,2206
17,2009,2010,"Obstetrics, Gynecology",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,100
17,2009,2013,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,863
17,2010,2010,"Endocrinology, Diabetes/Metabolism",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,11
17,2010,2010,Pediatric Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,78
17,2010,2010,Pediatrics,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,49
17,2011,2017,Family Practice,SAN BERNARDINO MEDICAL OFFICES U,SAN BERNARDINO COUNTY AREA,5181
17,2012,2012,Urgent Care,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,13
17,2013,2014,Family Practice,COLTON MEDICAL OFFICES  U,SAN BERNARDINO COUNTY AREA,133
18,2004,2004,Internal Medicine,FONTANA MEDICAL CENTER A,SAN BERNARDINO COUNTY AREA,557
18,2004,2017,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,32786
18,2015,2015,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,11
18,2017,2020,Internal Medicine,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,721
19,2004,2008,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,538
19,2005,2005,Internal Medicine,LOMA LINDA MEDICAL OFFICES,SAN BERNARDINO COUNTY AREA,26
19,2007,2009,"Orthopaedics, Medicine",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,75
19,2009,2010,Anesthesiology,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,25
19,2011,2016,Geriatric Medicine,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,9
19,2019,2019,Continuing Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,12
20,2006,2014,Family Practice,MORENO VALLEY MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,30002
20,2006,2019,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,3033
20,2006,2019,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,819
20,2013,2015,Family Practice,WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,77
20,2014,2017,Urgent Care,IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,1348
20,2014,2020,Family Practice,MERIDIAN PARKWAY MED OFFICES,RIVERSIDE MEDICAL CENTER AREA,19464
20,2015,2015,Urgent Care,WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,9
20,2017,2020,Family Practice,IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,1363
21,2004,2020,Hematology/Oncology,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,23101
23,2009,2020,Hematology/Oncology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,7433
24,2015,2015,Hematology/Oncology,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,109
25,2004,2018,Internal Medicine,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,34484
25,2013,2013,Urgent Care,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,87
25,2015,2019,Family Practice,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,366
25,2017,2020,Internal Medicine,BALDWIN HILLS CRENSHAW MEDICAL OFFIC,WEST LA MEDICAL CENTER AREA,6955
26,2004,2012,Gastroenterology,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,13586
26,2012,2012,Infectious Diseases,1505 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,45
26,2013,2013,Gastroenterology,BALDWIN PARK MEDICAL CENTER L,BALDWIN PARK MED CENTER AREA,228
26,2013,2013,Gastroenterology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,268
27,2011,2020,Internal Medicine,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,28978
27,2015,2020,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,302
27,2018,2020,Family Practice,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,268
28,2017,2019,Family Practice,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,98
28,2017,2019,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,41
28,2017,2020,Internal Medicine,REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,11821
28,2018,2018,Urgent Care,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,51
28,2018,2020,Urgent Care,MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,318
28,2019,2019,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,8
29,2010,2014,Infectious Diseases,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,20
29,2010,2016,Infectious Diseases,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,144
29,2010,2018,Infectious Diseases,PT LOMA/FORDHAM MED OFFICE   U,SAN DIEGO MEDICAL CENTER AREA,3737
29,2017,2020,Infectious Diseases,KP ZION MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,800
30,2016,2016,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,16
31,2007,2019,Urgent Care,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,16786
31,2007,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,3816
31,2014,2014,Family Practice,CUDAHY MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,41
31,2014,2014,Family Practice,LYNWOOD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,10
31,2014,2014,Family Practice,WHITTIER MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,5
31,2015,2020,Family Practice,BELLFLOWER MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,16446
32,2009,2011,"Surgery, General",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,116
33,2005,2005,Internal Medicine,MING MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,2335
33,2006,2006,Internal Medicine,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,957
33,2006,2020,Internal Medicine,PALMDALE MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,56304
33,2008,2009,Urgent Care,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,65
33,2016,2019,Family Practice,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,2144
34,2014,2014,Hematology/Oncology,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,55
34,2015,2017,Hematology/Oncology,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,1550
34,2015,2020,Hematology/Oncology,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,4547
34,2017,2020,Hematology/Oncology,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,182
34,2017,2020,Hematology/Oncology,KP ZION MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,3084
35,2004,2009,Family Practice,CLAIREMONT MESA MED OFFICES   U,SAN DIEGO MEDICAL CENTER AREA,12832
35,2004,2014,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,2318
35,2006,2019,Family Practice,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,814
35,2009,2020,Family Practice,BERNARDO CENTER MEDICAL OFFICE U,SAN DIEGO MEDICAL CENTER AREA,23687
35,2015,2017,Family Practice,ESCONDIDO MEDICAL OFFICES     U,SAN DIEGO MEDICAL CENTER AREA,17
35,2015,2017,Family Practice,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,58
35,2017,2019,Family Practice,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,68
36,2004,2012,"Orthopaedics, Surgery of the Spine",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,4538
36,2012,2020,"Orthopaedics, Surgery of the Spine",1505 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,7345
37,2018,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,807
37,2020,2020,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,23
38,2015,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,6053
38,2020,2020,Family Practice,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,24
38,2020,2020,Family Practice,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,24
38,2020,2020,Family Practice,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,14
38,2020,2020,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,49
39,2007,2007,Family Practice,BREA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,253
39,2007,2007,Family Practice,EUCLID MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,31
39,2007,2007,Family Practice,HUNTINGTON BEACH MED OFFICES U,ORANGE COUNTY MED CENTER AREA,89
39,2007,2007,Family Practice,YORBA LINDA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,69
39,2007,2011,Family Practice,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,451
39,2007,2019,Family Practice,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,299
39,2007,2020,Family Practice,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,1515
39,2007,2020,Family Practice,LA PALMA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,48052
39,2008,2019,Urgent Care,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,146
39,2008,2020,Urgent Care,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,455
39,2010,2019,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,210
39,2014,2015,Urgent Care,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,30
40,2004,2012,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,22635
41,2004,2005,Family Practice,BOSTONIA MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,2459
41,2004,2005,Family Practice,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,540
41,2004,2005,Family Practice,RANCHO SAN DIEGO MOB          U,SAN DIEGO MEDICAL CENTER AREA,131
41,2005,2005,Urology,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,164
41,2005,2012,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,128
41,2007,2008,Population Care Management,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,13
41,2008,2012,Family Practice,PT LOMA/FORDHAM MED OFFICE   U,SAN DIEGO MEDICAL CENTER AREA,136
42,2007,2011,Internal Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,9982
42,2011,2011,Internal Medicine,BELLFLOWER MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,634
42,2011,2012,Family Practice,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,71
42,2011,2019,Family Practice,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,302
42,2011,2020,Family Practice,ALISO VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,17435
42,2011,2020,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,4454
42,2012,2019,Urgent Care,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,388
42,2012,2020,Urgent Care,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,266
42,2016,2019,Urgent Care,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,35
42,2018,2020,Family Practice,NEWPORT BEACH MEDICAL OFFICE U,ORANGE COUNTY MED CENTER AREA,80
43,2007,2007,Hematology/Oncology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,146
43,2007,2012,Hematology/Oncology,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,7889
43,2011,2012,Hematology/Oncology,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,28
43,2012,2020,Hematology/Oncology,PARKVIEW MEDICAL OFFICES U,SOUTH BAY MEDICAL CENTER AREA,11040
44,2016,2017,Family Practice,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,3120
44,2017,2020,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,1729
45,2007,2012,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,846
46,2013,2014,"Surgery, General",GARFIELD SPEC CARE CNTR U,SAN DIEGO MEDICAL CENTER AREA,38
46,2013,2014,"Surgery, General",SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,2
46,2013,2014,"Surgery, General",VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,136
47,2012,2020,Family Practice,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,25119
47,2019,2019,Family Practice,PALMDALE MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,11
48,2010,2010,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,17
49,2015,2020,Gastroenterology,GARFIELD SPEC CARE CNTR U,SAN DIEGO MEDICAL CENTER AREA,3475
49,2015,2020,Gastroenterology,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,2523
49,2017,2017,Gastroenterology,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,1
49,2017,2020,Gastroenterology,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,19
50,2010,2012,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,150
50,2010,2013,Family Practice,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,11525
51,2010,2014,Intermediate Care,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,948
51,2011,2014,Intermediate Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,225
51,2014,2015,Urgent Care,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,36
51,2014,2017,Urgent Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,714
51,2016,2017,Urgent Care,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,202
51,2019,2019,Urgent Care,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,28
52,2010,2010,Gastroenterology,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,11
52,2010,2010,Gastroenterology,ANAHEIM KRAEMER MED OFFICE 1,ORANGE COUNTY MED CENTER AREA,27
52,2010,2010,Gastroenterology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,43
53,2004,2020,Internal Medicine,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,57510
53,2007,2018,Urgent Care,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,3703
53,2018,2020,Urgent Care,SANTA CLARITA MEDICAL OFFICE 2,PANORAMA MEDICAL CENTER AREA,754
54,2007,2011,"Obstetrics, Gynecology",4900 SUNSET MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,598
54,2010,2011,"Obstetrics, Gynecology",1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,345
54,2011,2019,"Obstetrics, Gynecology",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,5304
54,2012,2020,"Obstetrics, Gynecology",REDLANDS MEDICAL OFFICE U,SAN BERNARDINO COUNTY AREA,9522
54,2013,2019,"Obstetrics, Gynecology",MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,22
55,2004,2007,Pediatrics,MING MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,421
55,2004,2016,Family Practice,MING MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,36302
55,2005,2020,Family Practice,STOCKDALE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,8917
55,2006,2006,"Obstetrics, Gynecology",DISCOVERY PLAZA MEDICAL OFFICE U,KERN COUNTY MED CENTER AREA,113
55,2007,2016,Urgent Care,STOCKDALE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,795
55,2008,2008,Urgent Care,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,52
55,2008,2016,Family Practice,THOUSAND OAKS MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,162
55,2008,2016,Urgent Care,THOUSAND OAKS MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,401
55,2010,2010,Urgent Care,SIMI VALLEY MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,13
55,2016,2016,Family Practice,322 THOUSAND OAKS MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,6
55,2016,2016,Family Practice,BV CAMARILLO MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,164
55,2016,2016,Family Practice,BV OXNARD MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,22
55,2016,2020,Family Practice,SIMI VALLEY MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,1648
55,2016,2020,Family Practice,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,9019
56,2004,2010,Internal Medicine,RANCHO CUCAMONGA MED OFFICES  U,SAN BERNARDINO COUNTY AREA,11980
56,2005,2007,"Obstetrics, Gynecology",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,320
56,2005,2020,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,19719
56,2015,2018,Urgent Care,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,172
56,2015,2020,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,255
56,2018,2019,Urgent Care,MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,166
56,2020,2020,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,25
57,2004,2005,"Surgery, General",RIVERSIDE MEDICAL CENTER L,RIVERSIDE MEDICAL CENTER AREA,1863
